اسم الفيلم,تاريخ العرض,تصنيف الفيلم,مدة الفيلم (دقيقة),ملخص,تمثيل,تأليف,إنتاج,تصوير,مونتاج,ديكور,ملابس,موسيقى,إخراج,توزيع
الحبيب المجهول,1955,رومانسي,120,ليلي حب طبيب حسين قرر زواج حتي تمكن اجراء عمليه جرح مسءوليته كامل اصاب مرض القلبلتعتقد ليلي احب عامل مريض عقب اجراء جرح نجاح ظن حسين ليلي احب صديق تصاعد حدث,"ليلى مراد,حسين صدقي,كمال الشناوي,سراج منير,رجاء يوسف,عبدالسلام النابلسي,مختار عثمان,علوية جميل,لبلبة,ثريا فخري,عبدالمنعم إسماعيل,عبدالغني النجدي,عبدالحميد بدوي,سلوى عز الدين,محمد نبيه,فيفي يوسف,عبدالعظيم كامل,ثريا سالم,رشوان مصطفى,ليلى حمدي","عبدالرحمن الشريف,إبراهيم الورداني","أفلام مصر الجديدة,لويس توفيق,جمال الدماطي","وحيد فريد,جودة عبدالجواد,عبدالله ياقوت,محمود بكر,عواد محمد","عبدالمنعم توفيق,انجا وميلا","أنطوان بوليزويس,محمود حسنين الشيخ,نجيب خوري",nan,"فتحي قورة,مأمون الشناوي,محمد حلاوة,رياض السنباطي,كمال الطويل,منير مراد,عطية شرارة","حسن الصيفي,محمد عمارة,فؤاد صلاح الدين",أفلام مصر الجديدة
نهارك سعيد,1955,دراما,105,ٱبن رجل ثري ري موهبه موسيقي اراد سار طريق فن والد صاحب مصنع رفض ٱبن موسيقي لذيذ طرد منزل اعلن والد ثري مسابقه ٱسم منتج تصنيع صابون تقدم ٱبن وافق والد فاز بالجاءزه مبلغ كفي مول مسرح عمل عاني كساد وصل شهر ٱستعراض الغناءيه وصل شهر والد نظر فن وافق اتاح فرصه تزوج فتاه احب,"منير مراد,سعاد ثروت,عبدالسلام النابلسي,سعاد مكاوي,ميمي شكيب,مختار عثمان,زينات صدقي,سراج منير,مونا فؤاد,شفيق نور الدين,زينات علوي,رياض القصبجي,نعيمة وصفي,زكى كاريوكا,ماري عز الدين,عبدالعزيز حمدي,كوثر شفيق,محمد الديب,ماري باي باي (بهيجة محمد علي),عبدالحميد زكي,حسين إسماعيل,علي كامل,أحمد كامل,ثريا حسن,دنجل (عجمي عبدالرحمن)","ابراهيم مراد,السيد بدير,فطين عبدالوهاب","ابراهيم مراد,أفلام الكواكب","حسن داهش,محمود صابو","حسين عفيفي,سعيد الشيخ,محمد نبيه,نعمت فايد","ستوديو الأهرام (ستوديوهات الأهرام),عبدالفتاح البيلي",محمد مرعى,"أندريا رايدر (أندريه رايدر),منير مراد,فتحي قورة","فطين عبدالوهاب,محمود فريد,إلياس متى",أفلام الكواكب
الميعاد,1955,nan,100,اهميه ٱستقامه حياه كمال مهندس فقير ٱضطر عمل سكرتير تظاهر نظم صديق ثري عمليه نصب غني ٱضطر كمال حاجه شديد مال عمل نظم نصب ثري احب كمال ٱبن ثري دفع محاوله انقاذ برثن نظم,"تحية كاريوكا,ماجدة,صلاح نظمي,محمد توفيق,سناء جميل,عبدالوارث عسر,محمود عزمي,سعيد أبو بكر,كمال حسين",محمد كامل حسن المحامي,محمد كامل حسن المحامي,"رويد طمبا,روبير طمبا",كمال أبو العلا,"أنطوان بوليزويس,نجيب خوري",nan,nan,"أحمد كامل مرسي,حسن نعمة الله",nan
إسماعيل يس يقابل ريا وسكينة,1955,ﺗﺸﻮﻳﻖ ﻭﺇﺛﺎﺭﺓ,-,دار حدث فيلم عصابه خطف نساء قتل سرق مصوغ دفن منزل ٱكتشف شاب صدفه خطيب حس شاب خوف شديد قرر بلغ بوليس خروج منزل دخل صدفه,"إسماعيل يس,ثريا حلمي,نجمة إبراهيم,زوزو حمدي الحكيم,عبدالفتاح القصري,رياض القصبجي,سعيد خليل,نظيم شعراوي,نعمت مختار,عبدالمنعم إسماعيل,ثريا فخري,أحمد الجزيري,عبدالحليم القلعاوي,محمد شوقي,مطاوع عويس,كامل أنور,عبدالحفيظ التطاوي,طوسون معتمد,دنجل (عجمي عبدالرحمن)",أبو السعود الإبياري,"افلام الهلال (شريف والى),روفائيل جبور","روبير طمبا,والى نور الدين","اميل بحرى,اربينيه باسماجيان,مانوش","عباس حلمي,احمد اللبودى,دنجل وعباس",nan,"فؤاد الظاهري,علي إسماعيل,فريد غصن,عزت الجاهلي,فتحي قورة,أبو السعود الإبياري,سعيد فؤاد","حمادة عبدالوهاب,طلبة رضوان",nan
كيلو 99,1955,كوميدي,85,دار حدث فيلم رجل طويل عمل وظيفه ساءق شاحنه نهار مطرب ملهي ليلي عمل قاد شاحنه قوه ٱحتلال بريطاني ٱعتقال ثني تواجد كيلو شهد واقع عامل مقهي قرر ساعد مطرب تهريب يد,"إسماعيل يس,ماري منيب,عبدالغني السيد,ثريا حلمي,عمر الجيزاوي,نيللي مظلوم,عبدالمنعم إسماعيل,عبدالحميد زكي,نادية السبع,ماريز لانجو,حسن أتلة,سعاد أحمد,مطاوع عويس,توفيق إسماعيل,ماري باي باي (بهيجة محمد علي),رجوات منصور,إسماعيل عبدالمجيد,رشوان مصطفى,أديب الطرابلسي,عبدالعظيم كامل,رشاد حامد,عبدالمنعم بسيوني,حسن أبو زيد,عمر الحريري,ماري عز الدين,أنتيك ملكيور,ميرنا لوي","عبدالعزيز جاد,إبراهيم حلمي","عباس كامل,أفلام إدوار خياط (ا. خيّاط),أفلام الجابرى (على الجابرى)","امبرتو لانزانو,كليليو (ك. ستشفللي),فارس وهبة,ماركو,مكرم سالم","أحمد إسماعيل,كمال فهمي","روبرت شارفنبرج,ستوديوهات (حدائق) شبرا",nan,"أحمد صبرة,عزت الجاهلي,من المصنفات العالمية,جليل البنداري,محمد علي أحمد,محمد عبدالوهاب","إبراهيم حلمي,عبدالعزيز جاد,عبدالرؤوف الشافعي",ج. كورين فيلم
الفيلسوف,1955,nan,-,ملخص,nan,أبو السعود الإبياري,أفلام مصر الجديدة,nan,nan,nan,nan,nan,حسن الصيفي,nan
سيجارة و كاس,1955,دراما,112,هدي جمالساميه جمالراقصه ٱستعراضي عمل كازينو جلاء زميل صديق مطرب تونسي عزهكوكاوهي احب طبيب ممدوحنبيل الالفيوهو طبيب مقتبل حياه المهنيهوقد عرض زواج شرط ٱعتزل رقص شرب الخمرووافقت رقص رقص وداع ودع جمهورهاوتزوجاولان حياه قاسي طلب مصروف اكثرفقد ٱقترح هدي زوج ممدوح مد مدخر رقص عمل بالسينمايفتتح مستشفي كبيريكون مدير اكبر جراحيهوبالفعل بناء مستشفي طريق صديق مهندس عماره سراج منيروذاع صيت انجب ٱبن جميل ٱسم عزهفت علا ٱسم صديق زوجه مطرب التونسيهزار عماره المستشفيوغازل كبير ممرض يولاندادليدا لٰكن صد البدايهوعندما عماره دعا صديق ممدوح زوجه هدي سهره ٱستجاب يولاندا مغازله عماره دكتور ممدوحولذلك وافق صحب السهرهغارت هدي كبير ممرض خوف زوج تناول خمر مره زواج شكا عز تلف عصب دعا ممدوح للمستشفيوتقابلت عماره ظن الطبيبوكشف وغازلهاوصدته مهندسولكنها اعجب طلب صديق هدي معرفه نواياهان اراد زواج اهل وسهلااما لعب زاد هدي يولانداوبدات مشكله عرف طريق لحياتهماكما لعب يولاندا دور اشعال نار قلب هدي شرب خمر تدخين بشراههحتي شاجر ممدوح عاير امبير مال مشهوراوضحت شهر اجلهوقد شهر زواجهمافاخذ ٱبنه منزل عاني مطرب عز تونسي ٱنتهاء راوند اقام مصرفبحثت زوج مصري تزوج اخذ اقام الداءمهوجدت بغيه مهندس عماره حاول الٱثنان اصلاح هدي ممدوحواشترط ممدوح اقلاع تدخين شرب خمر هدي ٱستطاع توصل مكان ٱبنه صغير ٱختطاف لٰكن ثني معاقره خمر نامي وقع سيجاره يد سبب حريق كبير منزل ٱبنه عز ٱحترق حضور اب ممدوح انقاذ حريق قرر هدي ٱمتناع نهاءيا خمر والتدخينبينما خلص دكتور ممدوح كبير ممرض يولانداواحضر ممرض عجوز اخر ايامهاصالحه قاصي,"سامية جمال,نبيل الألفي,سراج منير,داليدا,كوكا,حسين عبدالنبي,حسنى كلود,ميرفت كاظم,أنور زكي,محمد الهواري,رجاء عبدالحميد,كمال الزيني,فت فت,حسن حامد,محمد رضا,احمد بالى,علي كامل,إبراهيم يونس,نجيب عبده,محمود الزهيري,صالحة قاصين,أحمد لوكسر","عبدالعزيز سلام,نيازي مصطفى,حسن توفيق","افلام السهم الذهبي (كوكا),أبو السعود محمد","عبدالعزيز فهمي,والى نور الدين","سيد بسيوني,انجا وميلا","حبيب خوري,بابازايان",nan,"عزت الجاهلي,حسين جنيد,عبدالعزيز سلام,حسن أبو زيد","نيازي مصطفى,شريف حمودة,أمينة محمد",أفلام نهضة الشرق (بول مراديان)
نحو البحر الأحمر,1955,nan,-,ملخص,nan,nan,nan,nan,nan,nan,nan,nan,سعد نديم,nan
أيام و ليالي,1955,رومانسي,100,شاب ولد شقيق عض يحيي فتح يحيي فتي مستقيم عكس والد سكير فتح شاب عابث نتيجه اهمال حنق والد طرد منزل يحيي صالح ثني عرف يحيي سام احب نافس فتح تصاعد حدث يحيي ٱختيار اضحي ضمير,"عبدالحليم حافظ,إيمان,أحمد رمزي,كمال حسين,محمود المليجي,سراج منير,سهير الباروني,عدلي كاسب,عبدالمنعم بسيوني,عبدالقادر المسيرى,عباس رحمي,سامية رشدي,ثريا فخري,زينات علوي,عقيلة راتب,نبيل الزقزوقي","يوسف جوهر,هنري بركات","افلام محمد عبدالوهاب,أفلام بركات,إبراهيم مصطفى,أحمد فؤاد,روفائيل جبور","وحيد فريد,عبدالله ياقوت","فتحى قاسم,فكري رستم,اربينيه باسماجيان","هاجوب اصلانيان,نجيب خوري",nan,"مأمون الشناوي,حسين السيد,محمد عبدالوهاب","هنري بركات,ريمون نصور,أحمد فاروق",فيلم عبدالوهاب
جريمة حب,1955,nan,102,رافع محامي صديق افقد مستند براءه بارد حكم ادانه ال صديق محامي تورط علاقه عشيق زوجه قتل عشيق ٱتهم زوجه محامي قتل صواب عثر مستند اعاد قدر محامي انقذ صديق مره اخري انقذ زوجه تقديم قاتل حقيقي حارس عشيق حيله ذكي المحكمهشريط تسجيل,"أحمد شوقي,عماد حمدي,هند رستم,مريم فخر الدين,صلاح منصور,حسن البارودي,فتحية شاهين,عبدالعزيز أحمد,عبدالمنعم إسماعيل,عبدالحليم القلعاوي,محمد أحمد المصري (أبو لمعة),عدلي كاسب,زكي إبراهيم,ليلى حمدي,علي الغندور,منى (وزة)","أمين يوسف غراب,محمود صبحي",nan,nan,nan,nan,nan,nan,عاطف سالم,nan
عصافير الجنة,1955,دراما,107,وفاه مدير شركه مشروب وقع ارمله زمرد حب مدير دعايه شركه متزوج فعل ٱستطاع زمرد اقنع هجر زوجه حتي ٱستطاع زواج قرر بنت اب هروب دخل اب مدير دعايه شركه دوام مطلق بحث بنت اللاءي ٱلتحق عمل عازف البيانولا,"محمود ذو الفقار,زمردة,فيروز,نيللي,ميرفت,عزيزة حلمي,محمد توفيق,حسن البارودي,طلعت علام,منير الفنجري,حسين إسماعيل,عبدالغني النجدي,علي كامل,احمد مختار,عبد المنعم سعودي,احمد بالى,مها سليم,عباس الدالي,وهبة حسب الله,رشاد حامد,مطاوع عويس,عبدالحميد بدوي,أنور مدكور,سمير عزت,عباس رحمي,مجدى مرزوق,محى الدين مرزوق,رفعت إبراهيم,إبراهيم فوزي (إبراهيم جكله)","حسن توفيق,ميلا توفيق,سيف الدين شوكت","روفائيل جبور,أفلام فيروز","برونو سالفي,عبدالمنعم بهنسي,إبراهيم عبدالخالق","وديع شفيق,اربينيه باسماجيان,كمال أبو العلا","ستوديو نصيبيان,روبرت شارفنبرج,حسن الشريف",nan,"حسن توفيق,عزت الجاهلي","سيف الدين شوكت,طلعت علام,إلياس متى",nan
رنة الخلخال,1955,دراما,120,فتاه ضال ملجا معين وفاه اب وقت اخر مر صاحب فرن عطف عجوز ٱنقطع مده طويل عرف مريض نقل دار عاش خادم شعر دفء ولي عيش سلط انهي شيخ تاره ولد تاره صد شاب شيخ نهر لبث تزوج اقام شيخ زوجه ٱبن اكل قلب زوجه ٱزداد زوجه ٱنتظر مولود ٱلتقي دايه كشف رغبه حمل وضع خط جهنمي شرير توالي حدث فيلم,"مريم فخر الدين,شكري سرحان,نجمة إبراهيم,عبدالوارث عسر,برلنتي عبدالحميد,محمد الطوخي,عبدالمنعم إسماعيل,فيفي سعيد,حسين إسماعيل,زينات علوي,محمد نبيه,طوسون معتمد,هريدي عمران,صلاح عبدالحميد,عبد المنعم سعودي,مطاوع عويس","أمين يوسف غراب,محمود ذو الفقار","أفلام مريم فخر الدين,محمد حجاج,مريم فخر الدين","ضياء الدين المهدي,عبدالمنعم بهنسي,برونو سالفي","ألبير نجيب,كمال فهمي","عبدالمنعم على,عباس حلمي,ستوديو الأهرام (ستوديوهات الأهرام)",محمد مرعى,"سيد مصطفى,أحمد صبرة,عبدالحليم نويرة,فتحي قورة,شارل فوسكلو","محمود ذو الفقار,محمود فريد",nan
وداع فى الفجر,1956,nan,100,احمد ضابط طيار عاش والد غني طمع تزويج ٱبن شريك عمل مالي ٱبن القي ثني دراسه كليه حرب خطاب جرام عاشق مجهول كشف رد زينب فتاه فقير صله قرابه عيد نظر طفل صغير انضج تحول قلب احب قرر تزوج عارض اب زواج تمرد تزوج فتاه اقام منزل مستقل زواج حتي دعا ذهاب فلسطين محاربه صهيوني تارك زوجه رعايه ام سقط طاءرته خط عدو وقع اسر اعلن ٱسم عداد مفقود وضع زوجه طفل ٱستولي حزن الياس عنايه مدرس شاب سكن جوار احب صمت كتم هوه رد نبا رسمي وفاه زوج اصاب صدمه شديد ٱنتهي شلل ساق خلص مدرس عاشق خدمه انفاق زواج زوج طيار مات نجح هرب بيت زوجه زوجه سوي اخفي زوجه مرض اخبر ٱستطاع تخلي رجل جوار,"شادية,كمال الشناوي,يحيى شاهين,سراج منير,فردوس محمد,عبدالمنعم إبراهيم,أنور زكي,عبدالغني النجدي,محمد الديب,عبدالحميد بدوي,فتحى عبدالحفيظ,حسين قنديل,رجاء سراج,وحدات الطيران الحربى,محمد حسني مبارك,أحمد درويش","السيد بدير,كمال الشناوي,حسن الإمام",أفلام كمال الشناوي,"مسعود عيسى,محمود نصر",كمال أبو العلا,"عباس حلمي,ستوديو الأهرام (ستوديوهات الأهرام)",nan,من المصنفات العالمية,"حسن الإمام,محمود فريد",nan
قتلت زوجتي,1956,ﺗﺸﻮﻳﻖ ﻭﺇﺛﺎﺭﺓ,110,زوج زوج عاش هناء سرور نقص شيء ٱكتمل سعاده ابناء فعلي مرور زواج طفل رغب زواج اخري توارد اﻹشاعات منطقه عاش علاقه خطيب دفع ظن زوجه قيام فعل متهور,"مديحة يسري,عماد حمدي,زهرة العلا,عمر الحريري,وداد حمدي,عزيزة حلمي,فردوس محمد,ثريا فخري,سيد العربي,علي رشدي,عبدالعليم خطاب,محمد شوقي,حسين قنديل,حسن حامد,عبدالغني النجدي,محسن حسنين,عبدالمنعم إسماعيل,علي عبدالعال","السيد بدير,كمال عطية","افلام الإتحاد (عباس حلمى),حسن فايق,السعيد صادق,محمد أبو الفتوح","محمد عبدالعظيم,عادل عبدالعظيم,احمد عطية","عبدالمنعم توفيق,مارسيل صالح,سعيد سند","عبدالمنعم على,عباس حلمي",nan,nan,"كمال عطية,إبراهيم السيد",أفلام مصر الجديدة
نداء الحب,1956,دراما,120,وقع طالب جرام استاذ جامعي مءلف قصه ٱتصل فتاه مشلول استاذ بث مشعر تصور محدث تلميذ ٱنتحل شخص مختلف وقع جرام طالب تقدم خطبه صدم عرف طالب احب شاب اخر عاود ٱتصال فتاه لف مشلول معرفه مكان ٱلتقي حاول اخفاء حقيقه ساعد علاج شلل تزوج,"حسين رياض,زهرة العلا,كوثر رمزي,شكري سرحان,عبدالمنعم إبراهيم,ماري عز الدين,وفاء,نور الدمرداش,عبدالعظيم كامل,ثريا فخري,محمد شوقي,عواطف رمضان,سهير أيوب,عمر عفيفي,لطفي الحكيم,منير الفنجري,هيرمين,فيفي سلامة,عبدالرحمن الفران,سميحة محمد,محمد عبدالعظيم","إبراهيم عبدالقادر المازني,محمد عبدالقادر المازني","عز الدين الترجمان,إلهامي حسن","فؤاد عبدالملك,محمود بكر,فؤاد رمضان",جلال مصطفى,جمال أمين,nan,"مصطفى عبدالرحمن,أحمد منصور,محمد علي أحمد,محمد الموجي,عبدالحليم نويرة,عبدالرحمن الفران","إلهامي حسن,محمد المازنى",nan
شياطين الجو,1956,nan,100,فرغلي عادي احمد جندي قابل مره عمليه ناجح قوه صهيوني ثني حرب تصدر امر جندي مظلي هبوط ارض ٱستولي صهيوني الطاءره عرف طيار حكايه تطوع دبر مال قروي احمد تزوج تو ٱستدعي مهمه سقط اسار عذب صهيوني تمكن زميل هرب زميل عنتر وماركوني نافس حب ممرض احسن قرر ٱختيار شجع عواد جاء قريه صعيد بحث ثار تارك وراء قريه قصه حب مدينه تطوع قوه جوي ذكر ماضي بدا عمليه عسكري نجح ٱستكمال قصه جاء,"شكري سرحان,أحمد رمزي,آمال فريد,عبدالسلام النابلسي,منيرة سنبل,سناء جميل,محمد عبدالمطلب,سلوى محمود,سعيد أبو بكر,عبدالغني النجدي,عبدالمنعم إبراهيم,عدلي كاسب,أنور زكي,حسن حامد,حمدي كروان,عبدالحميد بدوي","السيد بدير,عبدالحميد جودة السحار,وجيه أباظة,نيازي مصطفى",nan,روبير طمبا,انجا وميلا,"ستوديو الأهرام (ستوديوهات الأهرام),أنطوان بوليزويس",nan,محمد فوزي,"نيازي مصطفى,شريف حمودة",nan
قلوب حائرة,1956,رومانسي,110,فتاه ورث والد عذب ملك واصل عيش اب زوجه لٰكن ضيق ذرع معامله زوجه اب السيءه قرر فرار لبنان نصاب حاول ٱعتداء جنسي لٰكن نفذ موت المفاجء مصر درس ورث ام وقع حب شاب عاش جوار تزوج صدفه زوج قريب رجل حاول ٱعتداء لبنان,"زهرة العلا,كمال الشناوي,ليلى حمدي,إستيفان روستي,عزيزة حلمي,سعاد أحمد,رفيعة الشال,ناهد سمير,زوزو ماضي,عبدالوارث عسر,ماري عز الدين,حسن حامد,عبدالمنعم بسيوني,حسين قنديل,محمود رضا,سامية محسن,محمد سليمان,نادية فهمي,نيللي مظلوم,عبدالعظيم كامل,محمد شوقي,سعاد فوزي,هدى شمس الدين,محمود المليجي,أحمد شوقي","إبراهيم عمارة,محمد فتحى أبو الفضل",nan,"فارس وهبة,كليليو (ك. ستشفللي)","كمال أبو العلا,مارسيل صالح","عباس حلمي,عبدالمنعم شكري",nan,nan,"إبراهيم عمارة,محمد عمارة,علي رضا",nan
كفاية يا عين,1956,ﺗﺸﻮﻳﻖ ﻭﺇﺛﺎﺭﺓ,100,دار حدث كمال وقع جرام نادي راوند نادي ٱكتشف جار والد بلد بدا علاقه تطور راوند وخي فتح طمع مال دبر مكيده ﻹبعاد كمال حتي تزوج نجح خط,"ماجدة,كمال الشناوي,محمود المليجي,عباس فارس,زينب صدقي,إستيفان روستي,ثريا فخري,نعمت مختار,محسن حسنين","يوسف جوهر,حسام الدين مصطفى","أفلام حسام,حسام الدين مصطفى,محسن فرجانى,عبدالمقصود فرجاني",ألفيزى اورفانيللى,"حسن حلمي (حسنوف),مارسيل صالح,عبدالعزيز فخري","عباس حلمي,نجيب خوري",nan,"فريد الأطرش,محمد عبدالوهاب","حسام الدين مصطفى,سيمون صالح,لطفى نور الدين",أفلام نهضة الشرق (بول مراديان)
فليشهد العالم,1956,nan,-,ملخص,nan,nan,nan,nan,nan,nan,nan,nan,سعد نديم,nan
صاحبة العصمة,1956,ﺗﺸﻮﻳﻖ ﻭﺇﺛﺎﺭﺓ,100,منيره ارمله جميل عاش وحد تقرر تزوج غزال فنان ملهي عارض اخوه زواج طمع ثروه زوج ابناء قرر غزال تبني ٱبن ولد زوجه ٱستدعي منزل عمل خادم دري منيره زوجه ٱكتشف خدعه زوج قتل طفل دس سم ٱتهم مربي فعل محكمه ٱعترف مربي ام طفل قتيل حامي منيره ٱعترف جريمه ساق سجن غزال زوجه ٱنهيار,"محمود المليجي,زينات صدقي,تحية كاريوكا,حسن أتلة,زينات علوي,عدلي كاسب,حسن فايق,لطفي الحكيم,علي كامل,نجيب عبده,رؤوف كامل,فيفي سعيد,نبيل الزقزوقي,عبد المنعم سعودي,إبراهيم حشمت,أنور مدكور,سعاد أحمد,محمد نبيه,مختار السيد,علي المعاون,عبدالحليم القلعاوي,فيكتوريا حبيقة,مطاوع عويس,ايلين دياتو,منير الفنجري,حسين إسماعيل,عباس رحمي,عبدالمنعم إسماعيل,عبدالمنعم بسيوني,فهمي أمان,عبدالغني النجدي,زكي محمد حسن (زكي الحرامي),عبدالعظيم كامل,إسماعيل يس,سليمان الجندي","حسن الصيفي,أبو السعود الإبياري,وليم باسيلي","حسن الصيفي,فاروق الملثم,لويس توفيق","فيكتور أنطون,مجدي سعد,مسعود عيسى,زكريا أحمد,جمال أحمد,علي خير الله","عبدالمنعم توفيق,مارسيل صالح","نجيب خوري,يوسف عز الدين,عباس حلمي",محمد مرعى,"فؤاد الظاهري,عطية شرارة,محمود الشريف,منير مراد,فتحي قورة","عبدالحليم القلعاوي,حسن الصيفي,محمود فريد,صبحى عبدالعزيز",nan
أين عمري,1956,دراما,-,دار قصه فيلم تلميذ سعي ٱستقلال حياه شعور نضج كامراهولم سبيل سوي قبول زواج صديق العاءله عزيز عمر والد لٰكن ٱكتشف ٱرتبط رجل متسلط غيور حد مرض تعامل سوي قسوه قوه اطاع امر لٰكن قوي انضج فكري درايه بحقاءق حياه صدمه حتي ٱلتقي طبيب شاب وقع جرام اخرج سجن زوج حادث مروع تفاجءه رغبه حرر بت حرمان عزيز ري نهايه معا,"ماجدة,زكي رستم,يحيى شاهين,ميمي شكيب,أحمد رمزي,أمينة رزق,محمد نبيه,قطقوطة,عزيزة حلمي,فؤاد جعفر,إحسان شريف,فيفي سعيد,فردوس محمد,أنور زكي,عدلي كاسب,فتحية علي,فتحي الصافوري",nan,ماجدة,nan,nan,nan,nan,nan,أحمد ضياء الدين,nan
من المسئول,1956,nan,-,تعرض فيلم قضيه ٱجتماع واقع مشكله عامل احب زوجه حب جم لٰكن اصاب مرض عضال نقل مستشفي ساعه متاخر ليل طلب طبيب خفر معالجه طبيب موقف سلبي دفع عامل حال ثوره عارم غضب اعمي تصور عاقب فعل ضرب طبيب موجود مكتب يءدي موت طبيب هٰكذا دار حدث فيلم,"ناهده الرماح,سامي عبدالحميد ,كاظم المبارك ",nan,nan,nan,nan,nan,nan,nan,عبدالجبار توفيق ولي,nan
من القاتل؟,1956,دراما,100,دار حدث فيلم سعاد هانم ضحيه جريمه قتل حفل زفاف سميره عثور جثه حديقه ٱشتبه محقق اربع شخص سعيد سليمان سليم مجد حامي شك تحقيق مجدي خاص ٱختفاء مريب ٱستمرار تحقيق ٱنكشف مزيد مفاجاه,"سميرة أحمد,أمينة نور الدين,وداد حمدي,محسن سرحان,حسين رياض,محمود المليجي,جميل عز الدين,إسماعيل يس,رشدي أباظة,عدلي كاسب,رفيعة الشال,سليمان الجندي,علية فوزي,عبدالعظيم كامل,بثينة حسن,محمد سليمان,عبدالغني النجدي,جمال الدين محمود,سلوى عبدالعزيز,أحمد سليمان,  سعيد حسن ,أحمد فؤاد,زكي محمد حسن (زكي الحرامي)",محمد كامل حسن المحامي,"لوتس فيلم (آسيا وشركاها),مصطفى عبداللطيف","ألفيزى اورفانيللى,اسعد عزيز,جمال أحمد,مسعود عيسى","كمال أبو العلا,مصطفى مختار,مارسيل صالح","ستوديوهات جلال,نجيب خوري,عباس حلمي",nan,nan,"حسن الصيفي,محمد عمارة,صبحى عبدالعزيز",nan
بور أفريك,1956,nan,-,ملخص,أنتيك ملكيور,nan,nan,nan,nan,nan,nan,nan,nan,nan
أرض الأحلام,1956,دراما,89,ٱشتعل نار حب قلب مهندس احمد عمل ارض عبد ستار بكحيث اعجب ٱبنه امين مديح سري رفض والد زواج زوج ٱبن عم عمر ٱضطر احمد سفر وفاه والد ٱضطر عود مره اخري بلد وقع صراع احمد عمر ٱمتلاك قط ارض لجا عمر ازج احمد توريطه قضيه قتل زوجه امين حاول انقاذ احمد حاول عمر قتل القاء صخر قدم زال هوه صريع انقذ امين اهم قتل مساعد ادلاء شهاده تزوج,"عماد حمدي,مديحة يسري,فريد شوقي,سراج منير,توفيق الدقن,عبدالوارث عسر,وداد حمدي,زكي إبراهيم,فاخر فاخر,عبدالغني النجدي,دنجل (عجمي عبدالرحمن),محمد زايد,فادية إبراهيم,حسين فياض","علي الزرقاني,كمال الشيخ,محمود صبحي",السعيد صادق,"وديد سري,مسعود عيسى,توتال فيزيون وديالي سكوب,ايستمان كوداك","علوي فايد,أميرة فايد","أنطوان بوليزويس,محمود حسنين الشيخ",nan,nan,"عبدالرحمن شريف,كمال الشيخ",nan
ودعت حبك,1956,رومانسي,100,مستشفي عسكري ري عنبر جمع عسكر مريض قضي وقت صخب تهريج احل ضيف جديد صول بحري وحيد اوصي طبيب خير اخبر مريض كلي حياه معدود طلب عنايه كتمان امر حتي حقيقه مصير مريض جديد ٱنصرف ٱنطوي محاوله عبث قرب فعل ممرض جميل عرف حقيقه حال صحي اسرف ود اشل مهرج يءس تعاون ممرض عيد ميلاد ٱشتري شراء رسمي قدم هديه زال حتي انس ٱعتذر خشونه سابق ٱندمج حياه مرح صاخب فتح حياه فتح قلب ممرض جميل صارح حب عرض زواج ممرض ود امر شفقه تحول شفقه حب عميق عرض خطيب اشل عنبر اشرف اعداد حفل كبري ترف الجنودفانهم قدم ٱستعراض غناءيا حفل سمع حديث دار رد شل طبيب ادرك حقيقه حال عرف صاحب ممرض حقيقه اغضب ثار ٱتهم ممرض احب انما خدع حفل ٱنزوي غرفه لٰكن مسرح غني حان اخير اسقط ميت حاضر ضج تصفيق هتاف,"فريد الأطرش,شادية,أحمد رمزي,عبدالسلام النابلسي,توفيق الدقن,السيد بدير,عدلي كاسب,ثريا حلمي,رياض القصبجي,محمد صبيح,زينات علوي,خالد العجباني,عبدالقادر المسيرى,سميحة محمد",السيد بدير,"أفلام فريد الأطرش,يوسف حلمي,لويس توفيق","أحمد خورشيد,وديع مدور,محمد بكر","سعيد الشيخ,حسين عفيفي,مارسيل صالح,شوشو","ستوديو الأهرام (ستوديوهات الأهرام),ستوديو نحاس (النيل)",nan,"فريد الأطرش,شادية,محمود فهمي ابراهيم,عبدالعزيز سلام,أبو السعود الإبياري,أنور عبدالله","يوسف شاهين,مصطفى جمال الدين,كامل مدكور",nan
صحيفة السوابق,1956,ﺗﺸﻮﻳﻖ ﻭﺇﺛﺎﺭﺓ,120,دار حدث قصه شاب بدد ثروه ٱنضم عصابه تزييف نقد وقع جرام مطرب تزوج شرطه قبض اخرج شاب سجن حاول ٱنتقام زعيم عصابه حاول تزوج زوجه ثني راوند مسجون خطه زعيم عصابه ضرر عمل عمل اعان اسر,"صباح,كمال الشناوي,محمود المليجي,سراج منير,عايدة هلال,عبدالمنعم إسماعيل,رفيعة الشال,محمد سليمان,حسين قنديل,حسن حامد,محمد عزت,عبدالعظيم كامل,فيفي سعيد,ميمي عزيز,علي عبدالعال,نعمت مختار,ايلين دياتو,سهير رمزي,زكي,فتحى عزيز",محمد مصطفى سامي,"افلام الإتحاد (عباس حلمى),حسن فايق,محمد أبو الفتوح,حسن طاهر","ألفيزى اورفانيللى,احمد عطية,جمال أحمد","كمال أبو العلا,مصطفى مختار,مارسيل صالح","عباس حلمي,عبدالمنعم على",nan,"محمد علي أحمد,محمد فوزي,منير مراد,محمود الشريف,فتحي قورة","إبراهيم عمارة,محمد عمارة,صبحى عبدالعزيز",nan
