اسم الفيلم,تاريخ العرض,تصنيف الفيلم,مدة الفيلم (دقيقة),ملخص,تمثيل,تأليف,إنتاج,تصوير,مونتاج,ديكور,ملابس,موسيقى,إخراج,توزيع
أول الشهر,1945,دراما,105,دار حدث فيلم زوج سعيد حي زوجه حياه سعيد ملك نزوه ٱعترض حياه امر لعوب تقلب حياه راس عقب زوجه بيت حي حياه ٱستهتار مر لعوب ٱنهال زوج المصاءب نتج ٱستهتار ٱنجراف تيار تءدي ٱستدانه عرف تاجيل سداد دين دوم شهر,"حليم الرومي,حسين صدقي,صباح,بشارة واكيم,زوزو شكيب,فاتن حمامة,ماري منيب,زينب صدقي,محمد كامل,عبدالحميد زكي,نبوية مصطفى,محمود نصير","عبدالفتاح حسن,صالح سعودى",nan,ألفيزى اورفانيللى,إحسان فرغل,عباس حلمي,nan,"عبدالعزيز سلام,حليم الرومي,صباح,صالح جودت,محمود الشريف,بديع خيري,محمد القصبجي,محمد عبدالوهاب",عبدالفتاح حسن,nan
القلب له واحد,1945,دراما,120,خرج سعاد مدرسه داخلي اقام اخ زوج اب ٱبنه عامل معامله قاسي وقع سعاد حب رءوف صديق العاءله ادل مشعر زوجه اب حاول تزويج ﻹبنتها تصاعد حدث,"أنور وجدي,صباح,سليمان نجيب,ميمي شكيب,منى,فردوس محمد,يحيى مراد,عبدالحميد زكي,سعاد حسين,إسماعيل يس,محمد كامل,محمد إدريس,إستر شطاح,ببا ناجى,أحمد درويش,أمال سالم,عبد المنعم سعودي,فتحية شاهين,إبراهيم قدري","بديع خيري,عن سندريللا,للأخوان جريم,هنري بركات","ستوديو نصيبيان,آسيا داغر,لوتس فيلم (آسيا وشركاها)",جوليو دى لوكا,هنري بركات,nan,nan,زكريا أحمد,"هنري بركات,عباس كامل",nan
القرش الأبيض,1945,كوميدي,95,وقع جدي حيره امر بنت ٱتفق حل دعا حب عرف خلق شيءا شخص ثري بحث فتاه اراد شخص قابل نصف صدم اب ثري شديد بخل تامر اب زوج ٱبنه اصغر جار صادق تزوج خيل ٱبن جار تظاهر جدي ساءق عمل بحبح اب دخل راقص بحبح دور عاشق بدا صرف قاد افلس اصاب مرض ٱشتاق ٱبنه طلب صفح كشف جدي شخص لبحبح تزوج نصف,"فوزي الجزايرلي,ليلى فوزي,عباس فارس,إسماعيل يس,حورية محمد,محمود إسماعيل,ثريا حلمي,محمد شوقي,فؤاد الجزايرلي,عبدالمنعم إسماعيل,شفيق نور الدين","إبراهيم عمارة,أبو السعود الإبياري","ستوديو الأهرام (ستوديوهات الأهرام),روبرت شارفنبرج,أميل عطايا","حلمى فريد,برونو سالفي,أخوان سالفى",جلال مصطفى,عباس حلمي,nan,"محمد حسن الشجاعي,أبو السعود الإبياري,فريد الأطرش","إبراهيم عمارة,فطين عبدالوهاب",nan
هذا جناه أبى,1945,دراما,115,تورط محامي كبير مكان رفيع فتاه طالب زواج رفض سمح مركز ٱجتماع ٱرتباط تعهد بالتكفل طفل لٰكن رفض ٱختفي حياه وضع فتاه طفل سمي سميح فارق حياه كبر فتاه افصح اب كبر سميح عمل مشغل كبر محامي حتي محامي مشهور عرف سميح شاب ثري دعا سمير وصل امر ٱعتداء هرب شام سميح اصر لجوء قضاء طالب حق اوكل والد سمير محامي شهير دفاع ٱبن محامي شهير محكمه ٱتهم فتاه سقوط والخطيءه حتي ٱكتشف اخير طريق روايه سميح حياه ٱبنه تنحي قضيه ٱرتدي ٱعترف اب محكمه مجدد دافع محا حصل حق سمير كفل تكفير خطيءه,"صباح,زكي رستم,محمود رضا,عثمان أباظة,علي كامل,زكي إبراهيم,علي رشدي,فردوس محمد,عبدالعزيز أحمد,سراج منير,زوزو نبيل,صلاح نظمي,فيوليت صيداوي,إستر شطاح,احلام,منى,احمد مختار,عباس رحمي,أحلام,وداد حمدي,محمود لطفي","يوسف جوهر,هنري بركات","ستوديو نصيبيان,لوتس فيلم (آسيا وشركاها),عبدالله بركات",جوليو دى لوكا,nan,هاجوب اصلانيان,nan,"صالح جودت,مأمون الشناوي,محمود الشريف,فريد غصن","هنري بركات,يوسف معلوف",منتخبات بهنا فيلم
الحظ السعيد,1945,دراما,100,سعيد شاب عاطل عرف فتاه سمي اراد تزوج والد رفض فقره مات عم سعيد ثروه طاءله ٱتضح سعيد ارث وحيد زوجه طفل اصر سمي زواج سعيد وافق والد تصاعد حدث,"حسين صدقي,نجاة علي,بشارة واكيم,محمد الديب,عبدالمنعم إسماعيل,يحيى نجاتي,هدى شمس الدين,رياض القصبجي,على طبنجات,ليلى عبده,حسن كامل,محمد إدريس,انجيل,أليس أنجيل",أبو السعود الإبياري,"أفلام مصر الحديثة ""حسين صدقي""",شارفينرج,جلال مصطفى,nan,nan,"محمود الشريف,فريد غصن,فريد الأطرش",nan,nan
الآنسه بوسه,1945,دراما,115,ٱتفق فوزي باشا ٱبنه تزوج بدا ٱختار شخص حب ثروه فعل دعا فوزي باشا افلاس ٱختار مسكن شعبي متواضع جال شارع عازف بيانو غني ٱبنه جمع حب ٱبنه شاب عاءله ثري باراك باشا حب عاءله شاب رفض ٱرتباط فتاه شارع فقر عازف بيانو تمسك شاب ادرك باشا عثر زوج ٱبنه طامع ثروه اعلن حقيقه قصر مفارقه دهشه شاب وعاءلته باشا ٱبنه تزوج نسي بوسه ٱبن فوزي باشا احب احب شخص ثروه,"نور الهدى,محمود ذو الفقار,بشارة واكيم,فردوس محمد,حسن فايق,فرج النحاس,فهمي أمان,نادرة القصبجي,نعيمة جمال,شفيق نور الدين,عبدالحليم القلعاوي,نبوية مصطفى,محسن حسنين,فؤاد منيب,محمد نبيه,رياض القصبجي","أبو السعود الإبياري,نيازي مصطفى","إميل يزبك,نحّاس فيلم","مصطفى حسن,وحيد فريد",ألبير نجيب,"روبرت شارفنبرج,جعفر والى,ستوديو لاما",nan,"زكريا أحمد,رياض السنباطي,محمود الشريف,بيرم التونسي,عبدالعزيز سلام","نيازي مصطفى,حسن الإمام",نحّاس فيلم
عنتر وعبلة,1945,ﺗﺸﻮﻳﻖ ﻭﺇﺛﺎﺭﺓ,105,عنتر شداد عبد ٱبن ام قبيل بني عبس رفض اب شداد سيد قبيل ٱعتراف وقع حب ٱبن عم عبل دور رفض عم زواج اراد زوج شاب اخر وسيم دعا عماره خلص طلب عم مهر كبير قدر ماء ناقه احمر ارض الغساسنه طرف شام ملك نعمان رحل عنتر فعل ﻹحضار ناقه مر حدث عصيب رحله قبيل مره اخري حاول فوز عبل,"كوكا,سراج منير,فؤاد الرشيدي,نجمة إبراهيم,فردوس محمد,سيد سليمان,محمود إسماعيل,أحمد نجيب,فؤاد نويرة,وداد حمدي,فتحية علي,إستر شطاح,عباس البليدي,محمود السباع,عماد الجندى,وجيه ناصر,هاجر حمدي,شافية أحمد,لطفي الحكيم,رياض القصبجي,علي رشدي,حسنة سليمان,حسن صالح,فتحية شاهين","عبدالعزيز سلام,بيرم التونسي,نيازي مصطفى","ستوديو الأهرام (ستوديوهات الأهرام),أميل عطايا,لطفى نور الدين","مصطفى حسن,وحيد فريد,أوهان",جلال مصطفى,"حبيب خوري,بكر نصر","أحمد حلمي,صالح الشيتى,حبيب خوري","إبراهيم حسين,عبدالحليم نويرة,بيرم التونسي,شافيه,محمود الشريف,إبراهيم فوزي (إبراهيم جكله)","نيازي مصطفى,      محمود ابراهيم ",ستوديو الأهرام (ستوديوهات الأهرام)
بنات الريف,1945,دراما,-,عشيه ضحي بدل حال نقيض نقيض قرر فتي محسن فتاه ريف سنيه تخلي ٱتهم سرقه خاتم قبض دخل سجن ولد ٱبن مر سنه كبر ٱبن ٱتهم قضيه سطو قتل شاء قدر محسن موقف جلاد قاضي عرف سنيه طلب غفران ٱستقال عمل محامي دفاع سامي معترف اب جاني حقيقي,"فاطمة رشدي,يوسف وهبي,زوزو ماضي,محمود المليجي,سراج منير,هاجر حمدي,مفيدة أحمد,سميحة الطوخي,فايد محمد فايد,فطين عبدالوهاب",nan,nan,nan,nan,nan,nan,nan,nan,nan
جمال ودلال,1945,رومانسي,120,دار حدث فيلم جمال عمل ترجم تبادل مشعر حب فتاه دلال راقص ماركاد حجر عثر تحقق علاقه حاول جمال قاوم شتي سبيل دفع ماركه لفق جريمه قتل سافر ايطاليا عرف مايسترو كافاللو اعطي فرصه موهبه,"فريد الأطرش,ببا عز الدين,ليلى فوزي,عباس فارس,بشارة واكيم,ماري منيب,زينات صدقي,عبدالسلام النابلسي,عبدالحميد زكي,محمود شكوكو,محمد الديب,حسن كامل,عبدالنبي محمد,السيد فخر الدين,فتحية علي,جينا,محمد شوقي,عبدالغني النجدي","زكي صالح,إستيفان روستي,بديع خيري","عمر لمعي,افلام لمعى,عبدالحميد زكي","مصطفى حسن,والى نور الدين",اميل بحرى,"عز الدين الترجمان,فتحي قابيل",nan,"فريد الأطرش,بيرم التونسي,مأمون الشناوي,أحمد رامي,بديع خيري","إستيفان روستي,يوسف معلوف",افلام لمعى
بين نارين,1945,رومانسي,110,دار قصه عمل دكتور حلمي وقع حب مطرب امين تزوج عاءلته ٱعترض زيجه نظر امين اسر فقير حاول والد مساعد ٱبن اخت تفريق حلمي امين تصاعد حدث,"راقية إبراهيم,أنور وجدي,أمينة نور الدين,زينب صدقي,محمود المليجي,فردوس محمد,أمينة شريف,محمد كامل,سعيد خليل,ثريا فخري,محمود رضا,محمد توفيق,عبدالحميد زكي,سامية عبدالعزيز,مارى نجار,نبوية مصطفى,  نيللى,محمد البكار,حسن كامل,زينات صدقي,نيللي مظلوم,نجوى سالم,يحيى نجاتي,محمد نبيه,صوفي ديمتري","حسن رمزي,صالح جودت","حسن رمزي,عبدالمقصود فرجاني,محمد فريد عبده","فرانسوا فاراكاش,جوليو دى لوكا,وحيد فريد,امبرتو لانزانو,أرام ماراليان",إحسان فرغل,"هاجوب اصلانيان,أبو العلا علي,حبيب خوري,حسين الشريف (حسين شريف)",nan,"عبدالحليم نويرة,محمود الشريف,رياض السنباطي,محمد البكار,زكريا أحمد,صالح جودت","يحيى نجاتي,جمال مدكور,عباس كامل,فؤاد شبل,كامل الحفناوي,عبدالرؤوف الشافعي",نحّاس فيلم
سفير جهنم,1945,ﺗﺸﻮﻳﻖ ﻭﺇﺛﺎﺭﺓ,121,رمضان رجل فقير معدم طاعن سن زوجه ٱبن ٱبن ٱختار شيطان اسر اثبت مدي سيطره شر عرض شب مال ٱستسلم رمضان زوجه غوايه سن حيوي شب ٱنصرف زوج شكل عربده طول يد صادق زوجه شاب حي حياه رذيله ٱنصرف ٱبن عالم شر تورط غوايه شيطان جريمه قتل ٱبنه مال شيء تزوج رجل ثري ٱنتصر شيطان ٱستقطاب جدد جهنم,"يوسف وهبي,فؤاد شفيق,فردوس محمد,فاخر فاخر,أمينة شريف,ليلى فوزي,عبدالغني السيد,هاجر حمدي,محمود المليجي,عبدالمجيد شكري,محمد كمال المصري (شرفنطح),توفيق صادق,سميحة توفيق,مورجان,إبراهيم حشمت,سعاد أحمد,عبدالقادر المسيرى,توفيق إسماعيل,فيليب كمال,لطفي الحكيم,زكي إبراهيم,لطيفة أمين,ببا ناجى",يوسف وهبي,نحّاس فيلم,"حسن داهش,سام بريل",ألبير نجيب,nan,nan,nan,يوسف وهبي,nan
أميرة الأحلام,1945,رومانسي,110,احل امير نور ضحي امير سلطنه جاوستان ضيف فندق كبري مصر لجا حميده تاجر فاكهه هرب فندق صادف امير شابه وصل لحد تطابق طلب امير حميده احل محل زياره رسمي تصاعد حدث,"نور الهدى,محسن سرحان,إستر شطاح,رياض القصبجي,عبدالفتاح القصري,فؤاد شفيق,عايدة مختار,نعيمة جمال,نادر جلال,حسين عيسى,عبدالعليم خطاب,سابو,سعاد أحمد,محمد رضا","أحمد جلال,عباس كامل",أفلام جلال,جوليو دى لوكا,أميرة فايد,سعد زغلول ابراهيم,nan,عباس كامل,أحمد جلال,نحّاس فيلم
الحياة كفاح,1945,دراما,-,دار حدث فيلم شب ثري اعجب فتاه عمل ممرض ٱتفق زواج والد رفض زيجه ٱختلاف طبقه ٱجتماع اصر شاب تحقيق امني ٱرتباط احب سوء حال زوج تقرر زوجه ايهام شاب احب حتي اطلق اسر ثري توالي حدث ٱضطر فتح محل بيع ملبس عرف فتاه لعوب وقع رفقه محظور حمل سفاح شخص قتل والد ٱنتحر ٱعترف طليق امر ٱكتشف اضحي مطلق اعاد عصمه,"أنور وجدي,عقيلة راتب,عبدالعزيز أحمد,عبد الوهاب الدوكالي,سليمان نجيب,زكي رستم,علوية جميل,فردوس محمد,زينات صدقي","مصطفى السيد,جمال مدكور",nan,"مصطفى السيد,مصطفى حسن,فرانسوا فاراكاش",صلاح أبو سيف,nan,nan,عبدالحميد عبدالرحمن,nan,nan
سلامة,1945,رومانسي,100,دار حدث فيلم عصر دوله اموي راعي غنم سلامه صوت ساحر ربط علاقه حب عبدالرحمن حب طمع ٱبن سهيل هرب خوف حب بدا عبدالرحمن رحله بحث,"أم كلثوم,يحيى شاهين,عبدالوارث عسر,فؤاد شفيق,إستيفان روستي,زوزو نبيل,فاخر فاخر,إستر شطاح,رياض القصبجي,ببا ناجى,علي كامل,عبدالقادر المسيرى,محمد كامل,عبدالعزيز خليل,محمد نبيه,سعاد زكي,حسن صالح,لطفي الحكيم,رفيعة الشال,زكي إبراهيم,محمود رضا","بيرم التونسي,علي أحمد باكثير",توجو مزراحي (أحمد المشرقي),عبدالحليم نصر,nan,"روبرت شارفنبرج,عبدالحميد السخاوي",أحمد حلمي,"بيرم التونسي,زكريا أحمد,رياض السنباطي","توجو مزراحي (أحمد المشرقي),منير مراد",nan
البني ادم,1945,ﺗﺸﻮﻳﻖ ﻭﺇﺛﺎﺭﺓ,100,دار حدث فيلم فتاه والد عمل خارج سوء حال ٱقتصادي طفل حمار طلب والد شاب رعي حمار شاب حاول قرب فتاه لٰكن رفض ذٰلك خطف طفل حمار,"بشارة واكيم,سامية جمال,إسماعيل يس,سعاد أحمد,محمود إسماعيل,محمود شكوكو,فردوس محمد,لطفي الحكيم,عبدالحميد زكي,رياض القصبجي,حسن كامل,سامية رشدي,صوفي ديمتري,عزيزة بدر,عبدالحليم مرسى,رشاد حامد,إستر شطاح,زكي إبراهيم,عبدالمجيد شكري,عبدالحميد بدوي,علي كامل,شفيق نور الدين,إبراهيم فوزي (إبراهيم جكله),توفيق صادق,احمد عامر,عبدالمنعم إسماعيل,صالحة قاصين,بترو طنوس,إسكندر منسي,محمد اسماعيل,شافية أحمد,محسن حسنين","عباس كامل,أبو السعود الإبياري,عزيزة أمير","رمسيس نجيب,إيزيس فيلم,محمود ذو الفقار,أفلام عزيزة أمير","وحيد فريد,مصطفى حسن","كمال الشيخ,أميرة فايد",عبدالمنعم شكري,nan,"فاسيلى بابا دويولوس,عزت الجاهلي,أحمد المسيري,محمود شكوكو,ابراهيم فوزي,شافية أحمد","نيازي مصطفى,يوسف معلوف",نحّاس فيلم
الخطيئة,1946,دراما,95,امين احب عادل موسيقي فقير تورط رفض زواج اصاب عادل مرض ٱكتشف دكتور خليل امين حامل فرصه ٱبتزاز مال جد امين افشي سر شكري ٱتفق ٱبتزاز جد تامر جد خفير فيلا قتل رضيع اخذ منزل دخل شكري خليل فيلا سرق مال احرق فيلا خان شكري شريك اغلق باب غرفه تمكن خروج اطلق رصاص شكري لفظ ٱعترف شكري بالمءامره خليل ٱلتقي عادل امين طفل حياه مستقر,"حسين رياض,روحية خالد,عباس فارس,نجمة إبراهيم,غرام شيبا,زوزو شكيب,محمد كامل,عبدالوارث عسر","إبراهيم عمارة,يوسف جوهر",nan,برونو سالفي,nan,nan,nan,nan,إبراهيم عمارة,nan
ملاك الرحمة,1946,دراما,120,دار حدث فيلم درامي ٱجتماع شركسي ثري فءاد عاش زوجه ٱبنه حاكي مءامره رجل محتال دعا كاظم عشيق احسن ٱستيلاء ثروه تدبير خط مكن عرف اسر بدا تفريق شمل اسر حي خبيث توالي حدث,"يوسف وهبي,راقية إبراهيم,فاتن حمامة,سراج منير,زوزو شكيب,بشارة واكيم,نجمة إبراهيم,فريد شوقي,فاخر فاخر,محمد عطيه,أمينة شريف,محمود رضا,عبدالحميد بدوي,فرج النحاس,محمد نبيه,إبراهيم حشمت,فتحية علي,شفيق نور الدين,عبدالمجيد شكري,لطيفة أمين,عفاف شاكر,عباس رحمي,لطفي الحكيم,زكي إبراهيم",يوسف وهبي,"رمسيس نجيب,نحّاس فيلم","محمود نصر,سامى بريل",كمال الشيخ,"بكر نصر,حبيب خوري,ستوديو نصيبيان",nan,"عبدالحليم نويرة,عبدالعزيز سلام,فريد غصن,رياض السنباطي","كمال بركات,يوسف وهبي",نحّاس فيلم
صاحب بالين,1946,كوميدي,110,ٱكتشف شومان باشا ثري منجد اشبه حد بعيد معلم عباس حاقد حياه عاش زوجه راضي ثري ضاق حياه ثراء وضع منزل ٱجتماع نظام قيد اضاف عنايه عنايه خاص ٱتفق معلم عباس تبادل دور حياه مل منجد فقر حاجه وقع عباس حب خادم رفض علاقه تكافء ٱجتماع طرح حقيقه كذب ٱتهم جنون شومان باشا ثري ذاكره حي حياه تشرد ٱستطاع تكيف حياه فقر مفارقه هزلي مضحك ٱلتقي ٱكتشف عجيب ٱتضح سبب وقوع موقف سابق تحقق امني منجد تزوج خادم ثري التكافء ٱجتماع اخير,"بشارة واكيم,محمود المليجي,ميمي شكيب,فردوس محمد,محمود شكوكو,إسماعيل يس,سعاد مكاوي,سناء سميح,يعقوب طانيوس,لولا عبده,نيللي مظلوم,محمد كامل,حسن كامل",عباس كامل,ستوديو الأهرام (ستوديوهات الأهرام),"حلمى فريد,ف . فاراكاش",جلال مصطفى,"ستوديو الأهرام (ستوديوهات الأهرام),حسين الشريف (حسين شريف),روبرت شارفنبرج",nan,nan,"عباس كامل,حسن الصعيدي",ستوديو الأهرام (ستوديوهات الأهرام)
الماضي المجهول,1946,رومانسي,125,توجه احمد علوي رحله وجه قصد تعرض حادث افقد ذاكره عرف مستشفي ممرض نادي نما شيءا فشيءا مشعر حب حاول اسر ٱستيلاء ثروه تحدث مفاجاه مجري حدث,"ليلى مراد,أحمد سالم,بشارة واكيم,أمينة نور الدين,أحمد علام,فردوس محمد,محمد كامل,عبدالعزيز حمدي,محمد عطيه,السيد بدير,سعاد حسين,فتحية فؤاد,سعيد أبو بكر,نبوية مصطفى,حسن كامل,محسن حسنين,نادية الجندي,جراسيا قاصين,صالحة قاصين,إدمون تويما,فيكتوريا حبيقة,محمد كمال المصري (شرفنطح),سامح عبدالرحمن,هاجر حمدي","أحمد سالم,بديع خيري",أفلام أحمد سالم,"أحمد خورشيد,فؤاد عبدالملك,روبير طمبا,جودة عبدالجواد,عواد أبو النجا","كمال الشيخ,حسن رضا,وفيقة أبو جبل","أنطوان بوليزويس,عثمان حسين",nan,"مأمون الشناوي,صالح جودت,محمد عبدالوهاب,محمد فوزي,عبدالحليم نويرة,أحمد رامي,أبو السعود الإبياري,جليل البنداري","أحمد سالم,كامل التلمساني",nan
الطائشة,1946,دراما,90,نصف مصنع وفاه شاكر كامل مجتهد عمل نصف اخر سميره ٱبنه وقع سامي اخ اصغر كامل حب لاحظ لاحظ بحث جاهد حياه ترف وجه كامل اقنع احب تزوج فعل زواج حاول لاحظ وضع يد مصنع خاص خان زوج فريد زوج سميره ملك نصف مصنع ٱستغل ٱبتزاز,"فاطمة رشدي,حسين رياض,يحيى شاهين,محمود المليجي,ماري منيب,منسى فهمي,زوزو شكيب,حسن كامل,أمينة شريف,محمد راغب,رشاد حامد,محمد عمارة,درية أحمد,أحلام,سعدية كريم,عبدالعظيم كامل,رياض القصبجي,محمد نبيه,محمود لطفي,زكي إبراهيم","إبراهيم عمارة,يوسف جوهر",فاطمة رشدي,"محمد عبدالعظيم,عبدالله ياقوت","كمال الشيخ,سعيد الشيخ","هاجوب اصلانيان,عبدالفتاح فريد",nan,"مأمون الشناوي,محمود الشريف,إبراهيم حسين,إبراهيم فوزي (إبراهيم جكله)","إبراهيم عمارة,حسن الصيفي",أفلام القاهرة
ملكة الجمال,1946,دراما,-,فعل وصيه معجزه وقع تزوج فتاه اسر فقير شاب ثري زواج ٱنكشف حقيقه ثار اسر اخري اعلن محامي شقيق رب اسر ثري توفي اخ مبلغ كبير ٱشترط تزوج شاب اتي فقير هدا ثوره اسر زواج فتاه تحقيق وصيه,"ليلى فوزي,كارم محمود,محمد كمال المصري (شرفنطح),ماري منيب,حسن فايق,عبدالعزيز أحمد,سعاد حسين,محمد الجنيدي,سامية رشدي,عبدالحليم القلعاوي",توجو مزراحي (أحمد المشرقي),شركة الأفلام المصرية (توجو مزراحي),"عبدالحليم نصر,جورج سعد",ماري شماس,عبدالحميد السخاوي,nan,nan,"توجو مزراحي (أحمد المشرقي),نيازي مصطفى",nan
النائب العام,1946,دراما,100,تسبب ثابت وكيل نيابه توقيع عقوبه قاسي عبدالخالق شافعي موظف مصلحه حكومي اخذ مبلغ خزان شراء دواء ام مريض نيه رد مبلغ تالي قبض ٱبن الناءب جميل اهم قتل راقص توالي حدث,"حسين رياض,عباس فارس,زكي رستم,سراج منير,مديحة يسري,زوزو حمدي الحكيم,زينب صدقي,إبراهيم عمارة,عبدالوارث عسر,محمود المليجي,عبدالعزيز خليل,سعيد أبو بكر,السيد بدير,حسن البارودي,عبدالمجيد شكري,فؤاد الرشيدي,فرج النحاس,لطفي الحكيم,علي رشدي,محمود رضا,فاطمة,أبو العينين شعيشع,عبدالحميد يونس,سعاد أحمد","أحمد شكري,أحمد كامل مرسي",عبدالحميد زكي,"ف فاراكاش,مصطفى حسن,أحمد خورشيد","عيسى أحمد,أحمد إسماعيل,لوتى بوشيل","أنطوان بوليزويس,أ. صدقي",nan,محمود عبدالرحمن,أحمد كامل مرسي,ستوديو مصر
أرض النيل,1946,دراما,-,دار فيلم ارض نيل قريه مصري عاني فقر مرض جهل بحث اهل قوه كفاح واجه مربي ٱمتص قوت اهل قريه ثري حال ارض فءاد ٱبن باشا رجب محاول حرص اهل تعاون سبيل اصلاح رب طمع مرابي ذٰلك اقام مشروع نجح محاوله اقبل لاح مساهمه مشروع تحسن حال قريه يءدي ٱستياء مرابي عمل تدبير المءامرات حرق مخزن نسب لاح مسكين ٱكتشاف براءه ساعد اهل رجل شرطه قبض مرابي سرع فرار محاول اغراق قريه القاء قبض حي امل سعاده,"أنور وجدي,عقيلة راتب,راقية إبراهيم,زوزو ماضي,جورج أبيض,زكي طليمات,عبدالعزيز أحمد,مديحة يسري,محمد توفيق,إدمون تويما,عبدالوارث عسر,رياض القصبجي,عزيز عثمان","يوسف جوهر,اندريه فينيو,عبد الفتاح حسن",ستوديو مصر,فرانسوا فاراكاش,nan,nan,nan,nan,عبد الفتاح حسن,nan
لست ملاكاً,1946,دراما,123,عرف محامي رءوف محمد عبد وهاب سري هانم ليلي فوزي ٱبن حسن ابو الدهب سليمان نجيب حب حاول وصول اراي رءوف صديق تزوج رءوف سري تحدث مشاجره ٱنتهي اطلق عشيق صديق نار رءوف اعاد صوت رصاص بصر ٱبن تمريض تزوج رءوف تاكد حب قوي حب سري,"محمد عبدالوهاب,ليلى فوزي,نور الهدى,بشارة واكيم,سليمان نجيب,محمود المليجي,عبدالوارث عسر,فرج النحاس,علي الكسار,أنور زكي,محسن حسنين,رياض القصبجي,جمعة إدريس, احمد التهامي ,حسن كامل,آمال وحيد,سعاد فخرى,كريمة حسني,أحمد درويش","محمد كريم,عباس علام,سليمان نجيب,عبدالوارث عسر","حلمي حليم,ستوديو مصر,أفلام بيضا",عبدالحليم نصر,إحسان فرغل,أنطوان بوليزويس,nan,"حسين السيد,كامل الشناوي,محمد عبدالوهاب,عزيز صادق",محمد كريم,فيلم عبدالوهاب
مجد... ودموع,1946,دراما,120,دار حدث دري مطرب شابه ٱرتبط علاقه عاطفي شاب حمدي سعي تفريق كسب قلب دري المستكاوي فعل نجح ابعاد حمدي دري ٱنقلب حياه دري راس عقب,"نور الهدى,محمد فوزي,بشارة واكيم,زوزو ماضي,أمينة شريف,فؤاد شفيق,حسن فايق,ثريا فخري,عبدالعزيز خليل,عبدالفتاح القصري,حسن كامل,محمد الديب,محمود رضا,فرج النحاس,إدمون تويما,سعيد أبو بكر,عبدالحليم مرسى,أحمد درويش,محمد راغب,عز الدين شاكر,سامية رشدي,فيكتوريا حبيقة,إستر شطاح,نجوى سالم,سهام عطية,سلوى الصغيرة,بترو طنوس,عباس الدالي","يوسف جوهر,أحمد بدرخان","اتحاد الفنيين,حلمي رفلة",عبدالحليم نصر,"ألبير نجيب,عبدالحليم نصر","ولي الدين سامح,سيد شاهين",nan,"أحمد رامي,بيرم التونسي,صالح جودت,مأمون الشناوي,عبدالعزيز سلام,كامل الشناوي,رياض السنباطي,محمد القصبجي,محمد فوزي,فريد الأطرش",أحمد بدرخان,منتخبات بهنا فيلم
المغني المجهول,1946,دراما,105,اضحي عظيم قدر وضع مفترق طريق ٱختيار وضع فتاه محاسن ٱختبار صعب عقب ٱشتعل قلب حب شاب محمد قرر زواج موافقه والد زواج ٱكتشف شفيق قرر تلفيق اهم محمد ازج سجن ساوم والد اثبات براءه محمد تخلي قرر محاسن اضحي حب حاول تمثيل غدر كراهيه انقذ,"محمد الكحلاوي,أميرة أمير,حسن فايق,بشارة واكيم,عبدالحميد زكي,هاجر حمدي,محمود شكوكو,ثريا فخري,فاخر فاخر,نعيمة جمال,سعاد حسين,موسى حلمى,حسنة سليمان,محسن حسنين,رياض القصبجي,وهبة حسب الله,صفا الجميل (صفا محمد),فهمي أمان,محمد مصطفى,عبدالمنعم إسماعيل,محمد توفيق,محمد صبيح,محمود لطفي","محمد الكحلاوي,أبو السعود الإبياري",نحّاس فيلم,"وحيد فريد,مصطفى حسن","محمود نصار,ألبير نجيب",حبيب خوري,nan,"فتحي قورة,محمود شكوكو,محمد الكحلاوي","مصطفى حسن,محمد توفيق",نحّاس فيلم
عدو المرأة,1946,دراما,115,رءوفزكي رستم كاتب مشهور كبير سن معروف موقف مر حتي عرف لقب عدو مر ري فاتن شابه جميل مكافحه اب اخ وقع جرام حال بدا مراسل طلب زواج ارسل خطاب صوره صديق جميل صلاحمحمد فوزيعلي صوره توافق فاتن زواج حتي اتي لحظه ٱلتقي ٱكتشف خداع طرد شده تراجع توافق زواج مضض يتصادف ري صلاح وقع جرام حال عرف رءوف حقيقه اغضب قليل بدايه لبث باراك زواج تزوج سكرتير حلم سام احب طرف,محمد فوزي، رياض القصبجي، زكي رستم، صباح، عبد الحميد زكي، عبد المجيد شكري، سامية فهمي، عبد الرحمن شريف، نبوية مصطفى,محمد حسن كامل، بديع خيري,nan,فرانسوا فاراكاش، محمد عز العرب,إحسان فرغل,عباس حلمي، حسن الشوربجي,nan,nan,عبد الفتاح حسن، عبد الرحمن الشريف، توفيق نبيه، أنور حمودة,منتخبات بهنا فيلم
